"address","city","state"
"555 E WILLIAM ST 26F","Ann Arbor","MI"
"605 HOWLEY CT","Ann Arbor","MI"
"2750 WINDWOOD DR","Ann Arbor","MI"
"3291 TURNBERRY LA","Ann Arbor","MI"
"2801 PONTIAC TRL","Ann Arbor","MI"
"549 LONG SHORE DR B","Ann Arbor","MI"
"555 E WILLIAM ST 15I","Ann Arbor","MI"
"140 LYNDEN GLEN DR","Ann Arbor","MI"
"2810 WINDWOOD DR","Ann Arbor","MI"
"1532 PINE VALLEY BLV","Ann Arbor","MI"
"404 SFirst St","Ann Arbor","MI"
"555 E WILLIAM ST 3L","Ann Arbor","MI"
"511 BENJAMIN ST 2","Ann Arbor","MI"
"303 SDivision St","Ann Arbor","MI"
"654 WAY MARKET DR","Ann Arbor","MI"
"25 RESEARCH DR","Ann Arbor","MI"
"1950 W LIBERTY ST","Ann Arbor","MI"
"3200 Nixon Road","Ann Arbor","MI"
"601 WAYMARKET DR","Ann Arbor","MI"
"2013 S HURON PKY","Ann Arbor","MI"
"2726 HIKONE RD","Ann Arbor","MI"
"2287 Shadowood Dr","Ann Arbor","MI"
"2809 RATHMORE LN","Ann Arbor","MI"
"1548 JONES DR","Ann Arbor","MI"
"2234 DEXTER AV","Ann Arbor","MI"
"1524 PINE VALLEY BLV","Ann Arbor","MI"
"555 E WILLIAM ST 11H","Ann Arbor","MI"
"1515 PINE VALLEY BLV","Ann Arbor","MI"
"555 E WILLIAM ST 22E","Ann Arbor","MI"
"632 WSummit St","Ann Arbor","MI"
"555 E WILLIAM ST 23D","Ann Arbor","MI"
"540 N MAPLE RD","Ann Arbor","MI"
"815 S STATE ST","Ann Arbor","MI"
"112 COLLINGWOOD DR","Ann Arbor","MI"
"1816 STADIUM PL","Ann Arbor","MI"
"409 E MADISON ST","Ann Arbor","MI"
"215 LAKE VILLAGE DR","Ann Arbor","MI"
"618 WLiberty St","Ann Arbor","MI"
"CR12-0047","Ann Arbor","MI"
"538 WAY MARKET DR","Ann Arbor","MI"
"966 NEWPORT RD","Ann Arbor","MI"
"1809 WILLOWTREE LN","Ann Arbor","MI"
"2980 PACKARD RD","Ann Arbor","MI"
"2407 SANDALWOOD CIR","Ann Arbor","MI"
"555 E WILLIAM ST 14B","Ann Arbor","MI"
"1693 BROADWAY ST","Ann Arbor","MI"
"1835 SHIRLEY LN","Ann Arbor","MI"
"555 E WILLIAM ST 7H","Ann Arbor","MI"
"3060 WASHTENAW AVE","Ann Arbor","MI"
"415 S FIFTH AVE","Ann Arbor","MI"
"260 HARBOR WAY","Ann Arbor","MI"
"1512 LONG SHORE DR","Ann Arbor","MI"
"637 S MAIN ST","Ann Arbor","MI"
"2044 PAULINE BLV","Ann Arbor","MI"
"115 W LIBERTY ST 3","Ann Arbor","MI"
"2305 SANDALWOOD CIR","Ann Arbor","MI"
"1318 WRIGHT ST","Ann Arbor","MI"
"1522 PINE VALLEY BLV","Ann Arbor","MI"
"1960 W LIBERTY ST","Ann Arbor","MI"
"1700 GREENVIEW DR","Ann Arbor","MI"
"2005 MEDFORD RD","Ann Arbor","MI"
"350 S FIFTH AV","Ann Arbor","MI"
"431 S SEVENTH ST","Ann Arbor","MI"
"211 S FOURTH AV","Ann Arbor","MI"
"555 E WILLIAM ST 26A","Ann Arbor","MI"
"3038 WILLIAMSBURG DR","Ann Arbor","MI"
"3076 WILLIAMSBURG DR","Ann Arbor","MI"
"411 LONG SHORE DR","Ann Arbor","MI"
"1630 NMaple Road","Ann Arbor","MI"
