address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"3170 Williamsburg Dr","Ann Arbor",MI,42.235046,-83.696424,0.6,range_interpolation,3170,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1415 WStadium Blvd","Ann Arbor",MI,42.261055,-83.731275,0.9,rooftop,1415,"E Stadium Blvd",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"2004 MEDFORD RD","Ann Arbor",MI,42.259056,-83.716662,1,range_interpolation,2004,"Medford Rd",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2765 WINDWOOD DR","Ann Arbor",MI,42.318832,-83.707284,1,range_interpolation,2765,"Windwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"217 N FIFTH AV","Ann Arbor",MI,42.282886,-83.746312,1,rooftop,217,"N 5th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"721 N MAPLE RD","Ann Arbor",MI,42.286861,-83.78216,1,rooftop,721,"N Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
CR14-0049,"Ann Arbor",MI,42.323965,-83.712673,0.6,street_center,,"M 14",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 3I","Ann Arbor",MI,42.277975,-83.742331,1,rooftop,555,"E William St 3I",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"645 WAYMARKET DR","Ann Arbor",MI,42.241676,-83.755855,1,range_interpolation,645,"Waymarket Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"431 S FIRST ST","Ann Arbor",MI,42.276954,-83.750861,1,rooftop,431,"S 1st St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"2980 CASCADE DR","Ann Arbor",MI,42.245728,-83.701545,1,range_interpolation,2980,"Cascade Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"3065 WHISPERWOOD DR","Ann Arbor",MI,42.316197,-83.701463,0.76,nearest_rooftop_match,3097,"Whisperwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"555 E WILLIAM ST 26J","Ann Arbor",MI,42.277974,-83.742413,1,rooftop,555,"E William St 26J",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1502 JONES DR","Ann Arbor",MI,42.294731,-83.731174,1,range_interpolation,1502,"Jones Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"225 SUNSET RD","Ann Arbor",MI,42.290693,-83.748106,1,range_interpolation,225,"Sunset Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"549 S FIFTH AV","Ann Arbor",MI,42.274601,-83.746023,1,rooftop,549,"S 5th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
